What do you think it means to wear sustainable clothing?(Choose all that apply),Do you think that sustainable fashion can help to lessen the carbon footprint in fashion industry and help to reduce environmental and ethical impact on earth?,How do you get rid of old clothes?,Where do you normally shop your clothes(Choose all that apply),Would you switch to sustainable fashion from buying in fast fashion brands if you know that it can help the environment even it cost more than the price range of fast fashion brands?,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Agree,Sell it online,Shein;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Give to family members,H&M;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Sell it online,H&M;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Make a charitable donation,Shein;Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction;Labor practices that are fair,Agree,Sell it online,H&M;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Sell it online,Penshoppe;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Chemical usage reduction;Labor practices that are fair,Agree,Give to family members,H&M;Penshoppe;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Agree,Give to family members,H&M;Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Chemical usage reduction;Labor practices that are fair,Agree,Give to family members,Bench;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction;Labor practices that are fair,Agree,Make a charitable donation,Shein;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction;Labor practices that are fair,Agree,Sell it online,H&M;Penshoppe;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Sell it online,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
,,,,,Rate your purchasing practices in clothing in terms of how sustainable it is
,,,,,Rate your purchasing practices in clothing in terms of how sustainable it is
