What do you think it means to wear sustainable clothing?(Choose all that apply),Do you think that sustainable fashion can help to lessen the carbon footprint in fashion industry and help to reduce environmental and ethical impact on earth?,How do you get rid of old clothes?,Where do you normally shop your clothes(Choose all that apply),Would you switch to sustainable fashion from buying in fast fashion brands if you know that it can help the environment even it cost more than the price range of fast fashion brands?,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Excessively expensive;Fabric that has been recycled,Agree,Give to family members,H&M;Penshoppe,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Give to family members,Thrift Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Give to family members,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction;Labor practices that are fair,Strongly Agree,Give to family members,Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Make a charitable donation,Bench;Penshoppe,Strongly Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Agree,Give to family members,Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Give to family members,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled,Strongly Agree,Give to family members,Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Agree,Give to family members,Bench;Penshoppe;Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Neutral,Make a charitable donation,Penshoppe,Strongly Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction;Labor practices that are fair,Strongly Agree,Give to family members,Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction;Labor practices that are fair,Agree,Give to family members,Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Give to family members,H&M;Bench;Penshoppe,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled,Agree,Give to family members,Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Strongly Agree,Make a charitable donation,Thrift Store;Local Store,Strongly Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Chemical usage reduction,Agree,Give to family members,Penshoppe;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Agree,Dispose,H&M;Shein,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction,Agree,Sell it online,Bench;Penshoppe;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Give to family members,Bench;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Neutral,Dispose,Shein;Penshoppe;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Give to family members,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Agree,Dispose,Penshoppe;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Neutral,Give to family members,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Agree,Make a charitable donation,H&M;Bench;Penshoppe;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled,Strongly Agree,Give to family members,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction,Agree,Dispose,Penshoppe;Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Strongly Agree,Give to family members,Thrift Store;Local Store,Strongly Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Neutral,Give to family members,H&M;Shein;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Agree,Make a charitable donation,Penshoppe;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Agree,Sell it online,Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Strongly Agree,Give to family members,H&M;Shein,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction,Strongly Agree,Give to family members,Penshoppe;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled,Strongly Agree,Give to family members,Thrift Store;Local Store,Strongly Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction,Strongly Agree,Give to family members,H&M;Bench;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Agree,Give to family members,Penshoppe,DIsagree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Make a charitable donation,Penshoppe;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Give to family members,H&M;Penshoppe;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Give to family members,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Make a charitable donation,From other states,Strongly Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Strongly Agree,Sell it online,H&M;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Agree,Make a charitable donation,Shein;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Chemical usage reduction,Agree,Make a charitable donation,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Labor practices that are fair,Neutral,Give to family members,Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Agree,Give to family members,Shein;Penshoppe;Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled;Chemical usage reduction,Agree,Give to family members,Uniqlo,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Agree,Give to family members,H&M;Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Sell it online,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
